Region ID,OSM ID,Access Score,Coordinates,Average Curb Ramp Score,Average No Curb Ramp Score,Average Obstacle Score,Average Surface Problem Score,Curb Ramp Significance,No Curb Ramp Significance,Obstacle Significance,Surface Problem Significance
137,26785289,1.928749847963918e-22,"[(-100.4048536,25.6639312),(-100.4057459,25.6642478)]",4.0,16.0,22.0,15.0,0.75,-1.0,-1.0,-1.0
138,26785289,5.824319868470494e-24,"[(-100.4057459,25.6642478),(-100.4066394,25.6645495)]",6.0,13.0,25.0,20.0,0.75,-1.0,-1.0,-1.0
139,26785289,2.4133627718273897e-12,"[(-100.4030953,25.6633178),(-100.4039789,25.6636322)]",7.0,6.0,17.0,9.0,0.75,-1.0,-1.0,-1.0
140,26785289,5.109089028037221e-12,"[(-100.4013934,25.6627321),(-100.4022409,25.6630241)]",8.0,7.0,11.0,14.0,0.75,-1.0,-1.0,-1.0
141,26785289,2.543665647376276e-13,"[(-100.3942219,25.6603036),(-100.3951061,25.6606241)]",4.0,10.0,14.0,8.0,0.75,-1.0,-1.0,-1.0
142,26785289,6.560200168110743e-12,"[(-100.3933627,25.6600128),(-100.3942219,25.6603036)]",3.0,13.0,10.0,5.0,0.75,-1.0,-1.0,-1.0
143,26785289,5.905303995456777e-10,"[(-100.3951061,25.6606241),(-100.3960294,25.6609155)]",5.0,10.0,9.0,6.0,0.75,-1.0,-1.0,-1.0
144,26785289,0.0011695102650555,"[(-100.3960294,25.6609155),(-100.3966558,25.6611277)]",7.0,8.0,3.0,1.0,0.75,-1.0,-1.0,-1.0
145,26785289,5.043474082014517e-07,"[(-100.3978078,25.6615175),(-100.3978618,25.6615388)]",2.0,7.0,4.0,5.0,0.75,-1.0,-1.0,-1.0
146,26785289,5.043474082014517e-07,"[(-100.3974558,25.6613983),(-100.3978078,25.6615175)]",2.0,7.0,4.0,5.0,0.75,-1.0,-1.0,-1.0
147,26785289,1.647265708374567e-19,"[(-100.3995832,25.6621246),(-100.4004964,25.6624291)]",9.0,9.0,24.0,17.0,0.75,-1.0,-1.0,-1.0
